mouse	grams
Wild type	19.4395243534478
Wild type	19.7698225105167
Wild type	21.5587083141491
Wild type	20.0705083914246
Wild type	20.1292877351609
Wild type	21.7150649868833
Wild type	20.4609162059892
Wild type	18.7349387653935
Wild type	19.3131471481065
Wild type	19.5543380299
Wild type	21.2240817974395
Wild type	20.3598138270574
Wild type	20.4007714505941
Wild type	20.1106827159451
Wild type	19.4441588652459
Wild type	21.7869131368031
Wild type	20.4978504782292
Wild type	18.0333828433704
Wild type	20.7013559015637
Wild type	19.5272085922721
Wild type	18.9321762940132
Wild type	19.7820250853417
Wild type	18.9739955516928
Wild type	19.2711087707089
Wild type	19.3749607321507
Wild type	18.3133066892576
Wild type	20.8377870444945
Wild type	20.1533731178365
Wild type	18.8618630629881
Wild type	21.2538149210699
Transgenic	21.700135161869
Transgenic	20.145825655343
Transgenic	20.4796652543423
Transgenic	22.6615855307875
Transgenic	22.3293829303084
Transgenic	22.0017429788313
Transgenic	20.6196236938257
Transgenic	21.3783888257097
Transgenic	18.5333154770232
Transgenic	20.3197482469842
Transgenic	20.4089682418983
Transgenic	23.6772674085886
Transgenic	18.6828701368405
Transgenic	21.6469612062783
Transgenic	19.0660262732398
Transgenic	20.5748851035808
Transgenic	19.8799983176524
Transgenic	20.6595174958373
Transgenic	21.354581459884
Transgenic	18.7998743247116
Transgenic	18.0642579813941
Transgenic	18.7663039999581
Transgenic	21.2197389330747
Transgenic	21.5913684922145
Transgenic	19.747493252758
Transgenic	26.4662059115145
Transgenic	18.3645334042587
Transgenic	21.416913890902
Transgenic	21.7510195230037
Transgenic	20.8631413064709
